Pond ID,Date,Time (IST),Ammonia (Photometer—TAN NH3-N),Chl-a (ProDSS—ug/L),DO (ProDSS—mg/L),pH (ProDSS/Pen*),Temperature (ProDSS—C),QC_Flag
74ea5a99,2025-11-30,08:00,0.46,NA,NA,NA,NA,
,2025-12-05,07:15,0.9,NA,NA,NA,NA,
,2025-12-10,07:09,0.29,NA,NA,NA,NA,
,2025-12-15,09:51,0.22,NA,NA,NA,NA,
,2025-12-17,07:17,0.35,NA,NA,NA,NA,
,2025-12-20,07:37,0.42,NA,NA,NA,NA,
,2025-12-30,08:45,0.27,NA,NA,NA,NA,
,2026-01-04,09:57,0.25,NA,NA,NA,NA,
,2026-01-06,09:21,0.1,84.72,NA,NA,NA,
,2026-01-09,07:27,0.62,NA,NA,NA,NA,
,2026-01-19,07:29,0.58,NA,NA,NA,NA,
,2026-01-24,07:29,0.32,NA,NA,NA,NA,
,2026-01-26,09:14,0.23,NA,NA,NA,NA,
,2026-01-29,10:01,0.43,65.59,NA,NA,NA,
44865e41,2025-11-30,07:06,0.31,NA,NA,NA,NA,
,2025-12-05,07:25,0.24,NA,NA,NA,NA,
,2025-12-10,07:33,0.19,NA,NA,NA,NA,
,2025-12-15,09:10,0.12,NA,NA,NA,NA,
,2025-12-17,07:30,0.26,NA,NA,NA,NA,
,2025-12-20,07:49,0.35,NA,NA,NA,NA,
5f07dc7a,2026-01-06,09:47,0.03,34.32,NA,NA,NA,
,2026-01-09,07:45,0.39,NA,NA,NA,NA,
,2026-01-19,07:45,0.01,NA,NA,NA,NA,
,2026-01-24,07:38,0.09,NA,NA,NA,NA,
,2026-01-26,07:46,0.09,NA,NA,NA,NA,
,2026-01-29,10:26,0.14,37.32,NA,NA,NA,
917e0459,2025-11-30,10:34,0.81,NA,NA,NA,NA,
,2025-12-05,7.04,0.47,NA,NA,NA,NA,
,2025-12-10,7.44,0.55,NA,NA,NA,NA,
,2025-12-15,08:24,0.53,NA,NA,NA,NA,
,2025-12-17,08:02,0.57,NA,NA,NA,NA,
,2025-12-20,09:53,0.53,88.13,NA,NA,NA,
,2025-12-25,NA,0.65,58.81,NA,NA,NA,
,2025-12-30,09:51,0.6,75.99,NA,NA,NA,
,2026-01-04,08:18,0.71,NA,NA,NA,NA,
,2026-01-06,07:39,0.31,NA,NA,NA,NA,
,2026-01-09,07:30,0.03,NA,NA,NA,NA,
,2026-01-19,08:30,0.17,NA,NA,NA,NA,
,2026-01-24,08:19,0.53,NA,NA,NA,NA,
,2026-01-26,10:24,0.49,47.5,NA,NA,NA,
,2026-01-29,09:12,0.39,NA,NA,NA,NA,
46bbdb3a,2025-11-30,08:42,0.32,NA,NA,NA,NA,
,2025-12-05,08:23,0.46,NA,NA,NA,NA,
,2025-12-10,08:16,0.25,NA,NA,NA,NA,
,2025-12-15,08:51,0.6,NA,NA,NA,NA,
,2025-12-17,08:07,0.56,NA,NA,NA,NA,
,2025-12-20,08:02,0.54,NA,NA,NA,NA,
,2025-12-25,07:18,0.16,NA,NA,NA,NA,
,2025-12-30,07:37,0.4,NA,NA,NA,NA,
,2026-01-04,09:07,0.09,NA,NA,NA,NA,
,2026-01-06,10:11,0.18,94.35,NA,NA,NA,
,2026-01-09,08:06,0.27,NA,NA,NA,NA,
,2026-01-19,07:58,0.16,NA,NA,NA,NA,
,2026-01-24,07:59,0.42,NA,NA,NA,NA,
,2026-01-26,08:08,0.5,NA,NA,NA,NA,
,2026-01-29,09:34,0.56,95.23,NA,NA,NA,
522cd38a,2025-12-05,07:45,0.13,NA,NA,NA,NA,
,2025-12-10,06:47,0.14,NA,NA,NA,NA,
,2025-12-15,08:12,0.2,NA,NA,NA,NA,
,2025-12-17,07:49,0.3,NA,NA,NA,NA,
,2025-12-20,08:02,0.27,NA,NA,NA,NA,
,2025-12-25,07:45,0.14,NA,NA,NA,NA,
,2025-12-30,08:57,0.2,NA,NA,NA,NA,
,2026-01-04,08:44,0.19,NA,NA,NA,NA,
,2026-01-06,10:57,0.22,NA,NA,NA,NA,
,2026-01-09,07:54,0.15,NA,NA,NA,NA,
,2026-01-19,08:11,0.25,NA,NA,NA,NA,
,2026-01-24,07:47,0.27,NA,NA,NA,NA,
,2026-01-26,07:55,0.31,NA,NA,NA,NA,
,2026-01-29,09:48,0.37,74.25,NA,NA,NA,
c5b49325,2025-11-20,09:35,0.36,40.34,2.7,8.37,25.8,
,2025-11-25,09:39,0.37,43.13,2.3,8.34,27.7,
,2025-11-27,09:39,0.89,33.51,1.7,8.41,26.5,
,2025-12-05,09:34,0.78,57.57,3,8.43,24.8,
,2025-12-10,09:37,0.36,46.44,4.2,8.47,24.7,
,2025-12-15,09:33,0.34,58.63,NA,NA,NA,
,2025-12-17,09:30,0.28,NA,NA,NA,NA,
,2025-12-20,08:14,0.4,NA,NA,NA,NA,
,2025-12-25,09:13,0.5,NA,NA,NA,NA,
,2025-12-30,10:05,0.35,NA,NA,NA,NA,
,2026-01-04,09:16,0.42,97.45,NA,NA,NA,
,2026-01-06,08:59,0.39,NA,NA,NA,NA,
,2026-01-09,09:12,0.41,NA,NA,NA,NA,
,2026-01-19,09:43,0.37,103.03,NA,NA,NA,
,2026-01-24,09:02,0.53,NA,NA,NA,NA,
,2026-01-26,09:03,0.61,NA,NA,NA,NA,
,2026-01-29,09:13,0.48,NA,NA,NA,NA,
fc8ef4d2,2025-12-15,08:07,0.39,NA,NA,NA,NA,
,2025-12-17,10.18,0.37,94.17,NA,NA,NA,
,2025-12-20,07:43,0.29,NA,NA,NA,NA,
,2025-12-25,07:55,0.27,NA,NA,NA,NA,
,2025-12-30,07:55,0.38,NA,NA,NA,NA,
,2026-01-04,08:03,0.37,NA,NA,NA,NA,
,2026-01-06,8.17,0.4,NA,NA,NA,NA,
,2026-01-09,10:07,0.3,124.19,NA,NA,NA,
,2026-01-19,08:04,0.3,NA,NA,NA,NA,
,2026-01-24,10:21,0.39,117.77,NA,NA,NA,
,2026-01-26,08:28,0.49,NA,NA,NA,NA,
,2026-01-29,10:31,0.28,NA,NA,NA,NA,
bdf8fe72,2025-12-15,08:23,0.22,NA,NA,NA,NA,
,2025-12-17,10:50,0.33,101.9,NA,NA,NA,
,2025-12-20,07:45,0.35,NA,NA,NA,NA,
,2025-12-25,08:08,0.36,NA,NA,NA,NA,
,2025-12-30,08:07,0.28,NA,NA,NA,NA,
,2026-01-04,8.13,0.35,NA,NA,NA,NA,
,2026-01-06,8.26,0.19,NA,NA,NA,NA,
,2026-01-09,09:56,0.24,40.23,NA,NA,NA,
,2026-01-19,08:17,0.41,NA,NA,NA,NA,
,2026-01-24,10:08,0.29,59.47,NA,NA,NA,
,2026-01-26,08:18,0.38,NA,NA,NA,NA,
,2026-01-29,10:06,0.09,NA,NA,NA,NA,
a0b42194,2025-12-15,07:38,0.56,NA,NA,NA,NA,
,2025-12-17,08:16,0.38,NA,NA,NA,NA,
,2025-12-20,10:14,0.31,104.9,NA,NA,NA,
,2025-12-25,10:14,0.24,112.55,NA,NA,NA,
,2025-12-30,10:04,0.63,75.99,NA,8.3,25.6,
,2026-01-04,08:32,0.43,NA,NA,NA,NA,
,2026-01-06,08:40,0.53,NA,NA,NA,NA,
,2026-01-09,08:13,0.45,NA,NA,NA,NA,
,2026-01-19,08:05,0.3,NA,NA,NA,NA,
,2026-01-24,08:36,0.43,NA,NA,NA,NA,
,2026-01-26,10:04,0.13,101.89,NA,NA,NA,
,2026-01-29,08:57,0.33,NA,NA,NA,NA,
ac7bb683,2025-12-15,07:54,0.53,NA,NA,NA,NA,
,2025-12-17,09:11,0.41,NA,NA,NA,NA,
,2025-12-20,10.26,0.23,110.53,NA,NA,NA,
,2025-12-25,10:32,0.23,128.73,NA,NA,NA,
,2025-12-30,10:24,0.45,172.85,NA,NA,NA,
,2026-01-04,09:01,0.23,NA,NA,NA,NA,
,2026-01-06,08:11,0.33,NA,NA,NA,NA,
,2026-01-09,08:51,0.21,NA,NA,NA,NA,
,2026-01-19,07:48,0.35,NA,NA,NA,NA,
,2026-01-26,09:40,0.28,90.16,NA,NA,NA,
,2026-01-29,08:20,0.23,NA,NA,NA,NA,
eb2903bd,2025-12-15,08:56,0.5,NA,NA,NA,NA,
,2025-12-17,07:33,0.6,NA,NA,NA,NA,
,2025-12-20,10:30,0.47,107.73,NA,8.27,NA,
,2025-12-25,09:29,0.42,100.81,NA,NA,NA,
,2025-12-30,09:26,1.02,89.74,NA,8.2,NA,
,2026-01-04,07:55,0.21,NA,NA,NA,NA,
,2026-01-06,07:13,0.45,NA,NA,NA,NA,
,2026-01-09,06:57,0.42,NA,NA,NA,NA,
,2026-01-19,7.45,0.48,NA,NA,NA,NA,
,2026-01-24,07:50,0.42,NA,NA,NA,NA,
,2026-01-26,11:08,0.3,124.47,NA,NA,NA,
,2026-01-29,09:37,0.4,NA,NA,NA,NA,
35f0d376,2025-11-20,10:08,0.49,95.27,3.7,8.44,26.6,
,2025-11-25,10:14,0.49,154.14,4.6,8.37,28.4,
,2025-11-27,10:11,0.47,126.11,3.1,8.36,27.4,
,2025-12-05,10:53,1.2,88.05,4.5,8.38,25.4,
,2025-12-10,10:02,1.62,92.95,3.8,8.28,25.3,
,2025-12-15,09:56,0.81,124.61,NA,NA,NA,
,2025-12-17,09:45,1.18,NA,NA,NA,NA,
,2025-12-20,09:04,1.6,NA,NA,NA,NA,
,2025-12-25,09:28,0.47,NA,NA,NA,NA,
,2025-12-30,10:16,1.09,NA,NA,NA,NA,
,2026-01-04,09:59,0.95,83.77,NA,NA,NA,
,2026-01-06,08:46,0.91,NA,NA,NA,NA,
,2026-01-09,09:00,0.5,NA,NA,NA,NA,
,2026-01-19,09:57,0.51,109.05,NA,NA,NA,
,2026-01-24,09:31,0.37,NA,NA,NA,NA,
,2026-01-26,08:51,0.91,NA,NA,NA,NA,
,2026-01-29,08:28,1.11,NA,NA,NA,NA,
56e8a695,2025-11-20,10:25,0.33,61.29,3.9,8.16,26.9,
,2025-11-25,10:41,0.35,102.21,3.6,8.04,28.4,
,2025-11-27,10:28,0.35,84.52,3,8.1,27.7,
,2025-12-05,09:59,0.91,51.16,3.7,8.08,25.2,
,2025-12-10,10:32,0.46,84.91,9.9,8.34,25.2,
,2025-12-15,10:15,0.45,87.86,NA,NA,NA,
,2025-12-17,09:57,0.47,NA,NA,NA,NA,
,2025-12-20,08:45,0.42,NA,NA,NA,NA,
,2025-12-25,10:07,0.41,NA,NA,NA,NA,
,2025-12-30,10:28,0.31,NA,NA,NA,NA,
,2026-01-04,10:21,0.47,79.91,NA,NA,NA,
,2026-01-06,08:32,0.41,NA,NA,NA,NA,
,2026-01-09,08:29,0.43,NA,NA,NA,NA,
,2026-01-19,10:10,0.49,54.98,NA,NA,NA,
,2026-01-24,09:48,0.39,NA,NA,NA,NA,
,2026-01-26,08:32,0.5,NA,NA,NA,NA,
,2026-01-29,08:43,0.42,NA,NA,NA,NA,
319c1ff7,2025-11-20,10:51,0.23,10.05,8.7,8.55,26.9,
,2025-11-25,11:13,0.24,23,7,8.47,28.3,
,2025-11-27,10:48,0.18,20.29,4.2,8.45,27.3,
,2025-12-05,10:32,0.77,16.36,5.6,8.47,25.3,
,2025-12-10,10:50,0.56,36.11,7.2,8.45,25.4,
,2025-12-15,10:31,0.57,54.33,NA,NA,NA,
,2025-12-17,10:24,0.57,NA,NA,NA,NA,
,2025-12-20,08:35,0.93,NA,NA,NA,NA,
,2025-12-25,09:49,0.59,NA,NA,NA,NA,
,2025-12-30,10:51,1.06,NA,NA,NA,NA,
,2026-01-04,10:14,1.36,15.6,NA,NA,NA,
,2026-01-06,08:24,0.89,NA,NA,NA,NA,
,2026-01-09,08:19,0.61,NA,NA,NA,NA,
,2026-01-19,10:27,0.69,30.09,NA,NA,NA,
,2026-01-24,10:03,0.74,NA,NA,NA,NA,
,2026-01-26,08:23,0.82,NA,NA,NA,NA,
,2026-01-29,09:02,0.6,NA,NA,NA,NA,
f9218e7b,2025-12-15,07:44,0.4,NA,NA,NA,NA,
,2025-12-17,09:14,0.53,127.02,NA,NA,NA,
,2025-12-20,08:37,0.47,NA,NA,NA,NA,
,2025-12-25,08:18,0.44,NA,NA,NA,NA,
,2025-12-30,08:44,0.39,NA,NA,NA,NA,
,2026-01-04,07:45,0.44,NA,NA,NA,NA,
,2026-01-06,7.39,0.41,NA,NA,NA,NA,
,2026-01-09,09:11,0.45,105.14,NA,NA,NA,
,2026-01-19,07:46,0.31,NA,NA,NA,NA,
,2026-01-24,09:33,0.45,114.32,NA,NA,NA,
,2026-01-26,08:03,0.35,NA,NA,NA,NA,
,2026-01-29,10:58,0.3,NA,NA,NA,NA,
9252e874,2025-12-17,09:49,0.5,74.7,NA,NA,NA,
,2025-12-20,08:14,0.41,NA,NA,NA,NA,
,2025-12-25,09:10,0.49,NA,NA,NA,NA,
,2025-12-30,08:27,0.31,NA,NA,NA,NA,
,2026-01-04,07:27,0.41,NA,NA,NA,NA,
,2026-01-06,7.54,0.34,NA,NA,NA,NA,
,2026-01-09,09:43,0.36,92.9,NA,NA,NA,
,2026-01-19,07:33,0.33,NA,NA,NA,NA,
,2026-01-24,09:48,0.39,121.9,NA,NA,NA,
,2026-01-26,07:51,0.46,NA,NA,NA,NA,
,2026-01-29,11:11,0.23,NA,NA,NA,NA,
89aabef8,2025-11-20,09:39,0.19,23.67,4.76,8.49,27,
,2025-11-25,NA,0.15,58.92,9.67,8.78,28.6,
,2025-11-27,09:37,0.27,44.45,3.49,8.71,27.7,
,2025-12-05,09:20,0.23,60.86,5.48,8.66,25.7,
,2025-12-10,09:25,0.29,43.28,4.21,8.58,25.6,
,2025-12-15,09:35,0.32,53.12,4.03,8.58,25.4,
,2025-12-17,09:25,0.34,54,3.36,8.44,25.6,
,2025-12-20,09:30,0.23,49.52,2.85,8.38,25.5,
,2025-12-25,09:46,0.48,51.68,4.19,8.37,25.6,
,2025-12-30,09:23,0.61,80.05,3.15,8.3,25.7,
,2026-01-04,09:28,0.35,82.13,4.82,8.36,26.4,
,2026-01-06,09:43,0.33,78.51,3.51,8.26,26.4,
,2026-01-09,09:40,0.33,82.37,4.17,8.3,25.2,
,2026-01-19,09:41,0.44,73.05,3.18,8.26,26.5,
,2026-01-24,09:54,0.55,65.55,4.73,8.27,26.4,
,2026-01-26,09:26,0.55,62.12,3.81,8.31,26.6,
,2026-01-29,09:33,0.97,59.85,3.62,8.2,27.2,
bee2e7f5,2025-11-20,10:32,0.45,18.52,4.78,8.11,27.1,
,2025-11-25,NA,0.25,61.88,5.48,8.3,28.5,
,2025-11-27,10:28,1.08,50.06,4.48,8.2,27.5,
,2025-12-05,10:01,0.87,42.55,4.72,8.13,25.5,
,2025-12-10,10:01,0.31,79.44,6.38,8.42,25.4,
,2025-12-15,10:09,0.35,68.68,5.3,8.46,25.3,
,2025-12-20,10:16,0.99,39.55,4.87,8.34,25.3,
,2025-12-25,10:16,0.4,44.19,4.2,8.28,25.2,
,2025-12-30,10:07,0.46,42.56,5.15,8.23,25.6,
,2026-01-04,10:09,0.87,38.46,4.02,8.14,26.1,
,2026-01-06,10:17,1.88,35.26,2.93,7.88,25.9,
,2026-01-09,10:15,1.06,27.22,4.31,7.97,24.5,
,2026-01-19,10:19,0.31,47.14,5.32,8.08,26.2,
,2026-01-24,10:24,0.49,42.54,4.68,8.05,25.9,
,2026-01-26,10:05,0.43,41.58,4.94,8.15,26.1,
,2026-01-29,10:08,0.43,32.66,4.32,8.14,26.5,
e2db7a6b,2025-11-20,10:55,0.88,37.17,5.24,8.3,26.9,
,2025-11-25,NA,0.7,46.2,3.85,8.35,28.6,
,2025-11-27,10:12,0.51,30.24,1.77,8.22,27.5,
,2025-12-05,11:03,0.23,45.52,4.96,8.15,25.7,
,2025-12-10,10:21,0.46,57.04,6.31,8.34,25.5,
,2025-12-15,11:11,0.45,48.28,4.81,8.42,25.6,
,2025-12-17,10:13,0.5,48.14,3.71,8.32,25.3,
,2025-12-20,10:35,0.34,55.08,4.5,8.37,25.5,
,2025-12-25,10:34,0.18,54.47,8.41,8.47,25.4,
,2025-12-30,10:33,0.29,71.52,7.33,8.54,25.5,
,2026-01-04,10:34,1.11,48.28,4.12,8.35,26,
,2026-01-06,10:33,0.45,45.46,3.67,8.29,26,
,2026-01-09,10:34,0.49,42.08,4.22,8.25,24.5,
,2026-01-19,10:34,0.23,52.71,8.44,8.52,26.2,
,2026-01-24,10:46,0.25,32.36,6.14,8.49,25.8,
,2026-01-26,10:19,0.31,27.18,5.55,10.48,26.1,
,2026-01-29,10:24,0.29,31.66,7.19,8.47,26.7,
51789df8,2025-11-20,11:29,0.27,72.24,18.36,8.61,27.9,flagged:DO (ProDSS—mg/L)
,2025-11-25,NA,0.52,39.05,2.53,8.3,28.5,
,2025-11-27,10:59,1.15,39.91,1.76,8.2,27.7,
,2025-12-05,10:34,1.24,39.51,4.83,8.14,25.3,
,2025-12-10,10:49,1.33,45.47,6.65,8.16,25.7,
,2025-12-15,10:35,1.6,30.05,4.65,8.19,25.4,
,2025-12-17,10:34,1.51,39.61,2.48,8.09,25.2,
,2025-12-20,11:06,1.11,41.23,4.39,8.16,25,
,2025-12-25,11:13,0.5,57.53,10.98,8.43,25.3,flagged:DO (ProDSS—mg/L)
,2025-12-30,11:08,1.01,21.71,5.71,8.25,25,
,2026-01-04,11:04,0.63,33.63,6.99,8.46,25.7,
,2026-01-06,10:56,0.61,28.25,9.52,8.42,25.9,
,2026-01-09,10:54,0.14,42.41,11.12,8.54,24.7,flagged:DO (ProDSS—mg/L)
,2026-01-19,10:54,0.19,17.21,4.6,8.4,26,
,2026-01-24,11:01,0.22,20.13,5.56,8.4,26,
,2026-01-26,10:53,0.2,22.19,6.88,8.49,26.3,
,2026-01-29,10:51,0.28,23.35,7.4,8.41,27,
